backend,split,filename,width,height,megapixels,preprocess_s,inference_s,postprocess_s,total_s,rss_before_mb,rss_after_mb,rss_peak_during_infer_mb,psnr_pred_gt,mean_lq_b,mean_lq_g,mean_lq_r,mean_pred_b,mean_pred_g,mean_pred_r,mean_gt_b,mean_gt_g,mean_gt_r
torch,val,0000.jpg,3301,2199,7.258899,0.10984346999975969,7.7663826099997095,0.20354878999933135,8.081388837001214,1282.328125,1324.7109375,nan,23.926021940570298,50.23767852783203,68.63650512695312,84.67728424072266,114.01515197753906,122.37079620361328,130.2726287841797,126.51372528076172,129.6172637939453,132.808837890625
torch,val,0001.jpg,3299,2200,7.2578,0.07385831999999937,7.801666139999725,0.07855895300053817,7.954734036999071,1387.8359375,1430.01953125,nan,18.311916615218355,77.5687255859375,85.78080749511719,94.86817169189453,149.026123046875,155.04144287109375,163.46011352539062,121.7265396118164,131.95404052734375,144.40980529785156
torch,val,0002.jpg,3299,2200,7.2578,0.05229968599996937,7.789051094001479,0.15433224399930623,7.996389407000606,1430.0078125,1387.4140625,nan,18.608416750378737,73.21540069580078,100.8839111328125,128.06082153320312,133.3077850341797,150.02157592773438,166.03866577148438,112.7918472290039,134.2522430419922,155.34844970703125
torch,val,0003.jpg,3298,2200,7.2556,0.11564272399846232,7.781501153000136,0.07659199199952127,7.975212936999014,1387.4140625,1429.8125,nan,21.103686706613605,90.70832061767578,97.54432678222656,109.94172668457031,141.83499145507812,150.02899169921875,166.5130615234375,124.39629364013672,133.78271484375,152.92117309570312
torch,val,0004.jpg,3302,2198,7.257796,0.09682557300038752,7.774564788000134,0.24015610899914464,8.11194574900037,1408.8828125,1428.546875,nan,16.206799703532777,45.820091247558594,56.415138244628906,66.98615264892578,116.93289184570312,126.15431213378906,134.2299041748047,137.38180541992188,157.07032775878906,166.98809814453125
torch,val,0005.jpg,3295,2203,7.258885,0.0832747130007192,6.9610558610002045,0.09483769799953734,7.141189226998904,1490.91796875,1512.30859375,nan,26.25360784169603,118.25481414794922,133.36477661132812,152.99061584472656,184.50572204589844,189.7296142578125,199.94281005859375,173.7427978515625,186.05099487304688,205.99490356445312
torch,val,0006.jpg,3299,2200,7.2578,0.08020542099984596,7.818705825999132,0.09182667400091304,7.991634125999553,1449.9375,1429.70703125,nan,19.5130569761283,86.10787963867188,90.51777648925781,87.96875762939453,158.1246337890625,162.95623779296875,158.81130981445312,168.2982177734375,174.99827575683594,162.3065185546875
torch,val,0007.jpg,3301,2198,7.255598,0.0469460069998604,7.788699913000528,0.07797502399989753,7.914492157000495,1492.078125,1491.25390625,nan,25.700506438164474,86.32707977294922,104.73158264160156,100.67890167236328,162.27647399902344,173.7548828125,173.53329467773438,163.05911254882812,170.37539672851562,166.6849365234375
torch,val,0008.jpg,3300,2199,7.2567,0.10552279399962572,7.765341973999966,0.21202026399987517,8.084122660999128,1491.234375,1491.671875,nan,19.878981863261888,52.797977447509766,83.81476593017578,125.84552001953125,118.38351440429688,140.23358154296875,171.35179138183594,125.3870620727539,144.25408935546875,167.55101013183594
torch,val,0009.jpg,3298,2201,7.258898,0.053778208000949235,7.7817661579993,0.08977634900111298,7.926097879999361,1429.3203125,1450.52734375,nan,21.75495541869923,86.87512969970703,107.42802429199219,124.0943603515625,163.6512451171875,171.9273681640625,179.88133239746094,150.54837036132812,161.417236328125,169.1517333984375
